OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
LYN,TRPV4,Biochemical Activity
TRPV4,SRC,Affinity Capture-Western
TRPV4,LYN,Affinity Capture-Western
TRPV4,YES1,Affinity Capture-Western
TRPV4,LCK,Affinity Capture-Western
TRPV4,HCK,Affinity Capture-Western
TRPV4,FYN,Affinity Capture-Western
FYN,EPHA4,Affinity Capture-Western
GP6,LYN,Reconstituted Complex
GP6,FYN,Reconstituted Complex
GP6,LYN,Affinity Capture-Western
KHDRBS1,LCK,Affinity Capture-Western
KHDRBS1,FYN,Affinity Capture-Western
UBE2I,CHUK,Biochemical Activity
UBE2I,TP53,Biochemical Activity
UBE2I,Rangap1,Co-crystal Structure
UBE2I,Rangap1,Reconstituted Complex
UBE2I,Rangap1,Biochemical Activity
RANGAP1,RAN,Reconstituted Complex
PRDX6,PRDX6,Co-crystal Structure
CIB1,Pax3,Reconstituted Complex
GAB2,PIK3R1,Affinity Capture-Western
GAB2,PTPN11,Affinity Capture-Western
GAB2,CRKL,Affinity Capture-Western
GAB2,PIK3R1,Two-hybrid
GAB2,PTPN11,Two-hybrid
GAB2,CRKL,Two-hybrid
CRKL,GAB2,Protein-peptide
MSH4,MSH5,Two-hybrid
MSH5,MSH4,Two-hybrid
PABPN1,SMARCA4,Two-hybrid
PABPN1,DNAJB4,Two-hybrid
PABPN1,SNW1,Two-hybrid
PABPN1,SNW1,Reconstituted Complex
PABPN1,SNW1,Affinity Capture-Western
PABPN1,SNW1,Phenotypic Enhancement
MYOD1,SNW1,Affinity Capture-Western
MYOD1,PABPN1,Affinity Capture-Western
PEX14,PEX5,Reconstituted Complex
PEX14,PEX7,Reconstituted Complex
PEX14,PEX14,Reconstituted Complex
AMPH,DNM1,Reconstituted Complex
GLRX,MAP3K5,Affinity Capture-Western
TRIM25,SFN,Affinity Capture-Western
UBE2L6,TRIM25,Affinity Capture-Western
FYN,CD36,Affinity Capture-Western
FYN,TYK2,Affinity Capture-Western
FYN,TYK2,Reconstituted Complex
FYN,CBL,Two-hybrid
FYN,CBL,Affinity Capture-Western
FYN,SYK,Affinity Capture-Western
FYN,CBL,Reconstituted Complex
FYN,SYK,Reconstituted Complex
EPHA8,FYN,Affinity Capture-Western
EPHA8,FYN,Reconstituted Complex
PTK2,FYN,Co-crystal Structure
SIT1,SYK,Affinity Capture-Western
SIT1,ZAP70,Affinity Capture-Western
SIT1,PTPN11,Affinity Capture-Western
SIT1,LCK,Affinity Capture-Western
SIT1,FYN,Affinity Capture-Western
THY1,LCK,Affinity Capture-Western
THY1,FYN,Affinity Capture-Western
MAG,FYN,Reconstituted Complex
FYN,TNK2,Affinity Capture-Western
FYN,TNK2,Reconstituted Complex
FYN,GNB2L1,Reconstituted Complex
FYN,GNB2L1,Affinity Capture-Western
ITK,HNRNPK,Reconstituted Complex
ITK,WAS,Reconstituted Complex
ITK,KHDRBS1,Reconstituted Complex
ITK,CBL,Reconstituted Complex
ITK,FYN,Reconstituted Complex
PTK2B,VAV1,Reconstituted Complex
PTK2B,FYN,Reconstituted Complex
FYN,PTK2B,Biochemical Activity
FYN,PTK2B,Affinity Capture-Western
SOS1,FYN,Reconstituted Complex
CD226,ITGB2,Affinity Capture-Western
CD226,FYN,Affinity Capture-Western
B4GALT1,LALBA,Reconstituted Complex
FUS,THRA,Reconstituted Complex
FUS,RXRA,Reconstituted Complex
FUS,RELA,Affinity Capture-Western
FUS,RELA,Reconstituted Complex
GABRA1,PRKCG,Affinity Capture-Western
GABRA1,PRKCD,Affinity Capture-Western
PRKCG,GABRA4,Affinity Capture-Western
GABRG2,GABARAP,Affinity Capture-Western
GABRG2,GABARAP,Reconstituted Complex
GABRG2,GABARAP,Two-hybrid
SLC6A1,STX1A,Affinity Capture-Western
SLC6A1,STX1A,Reconstituted Complex
GATA2,JUN,Reconstituted Complex
GATA2,ZFPM1,Affinity Capture-Western
GSN,ACTN4,Reconstituted Complex
NR3C1,SMAD3,Affinity Capture-Western
NR3C1,SMAD3,Reconstituted Complex
NR3C1,HSP90AA1,Affinity Capture-Western
NR3C1,HSP90AA1,Affinity Capture-Western
NR3C1,HSP90AA1,Affinity Capture-Western
NR3C1,PBX1,Affinity Capture-Western
NR3C1,HOXB1,Affinity Capture-Western
NR3C1,BAG1,Reconstituted Complex
BAG1,NR3C1,Reconstituted Complex
NR3C1,POU2F1,Reconstituted Complex
NR3C1,POU2F2,Reconstituted Complex
